entity,type,description,embedding
Tracking,Task,Object or path tracking,"[0.14238066971302032, -0.047133054584264755, 0.35309797525405884, 0.20018652081489563, 0.11071114987134933, 0.0680200457572937, -0.3046117424964905, 0.23737841844558716, -0.19567906856536865, 0.03231588378548622, 0.010067434050142765, -0.31788331270217896, -0.06091656908392906, -0.28667253255844116, 0.0685107558965683, -0.123282290995121, 0.1605822592973709, 0.06943345069885254, 0.0631447285413742, 0.06733650714159012, 0.32011672854423523, -0.21441872417926788, 0.3491946756839752, -0.30142948031425476, -0.07206031680107117, -0.03610721975564957, -0.12358897924423218, 0.11051394790410995, -0.042324114590883255, -0.2959842383861542, -0.290614515542984, -0.037361226975917816, 0.03325335681438446, -0.15552818775177002, -0.15750515460968018, -0.13005395233631134, 0.1865837424993515, -0.1960102915763855, 0.15000593662261963, -0.13034458458423615, -0.05715958774089813, -0.23909814655780792, -0.0616447776556015, -0.2233053743839264, 0.058510735630989075, -0.07125633209943771, -0.1172778308391571, -0.11346612870693207, -0.2782275080680847, 0.2242029309272766, 0.08040698617696762, 0.1345064640045166, 0.14137797057628632, 0.29754048585891724, -0.02446993626654148, -0.07484032958745956, -0.020046642050147057, -0.10734613239765167, -0.19513404369354248, 0.131222203373909, -0.09719218313694, -0.16389496624469757, 0.1288210153579712, -0.11828882992267609, -0.14825846254825592, -0.10137582570314407, 0.012291599065065384, 0.14534130692481995, -0.011655619367957115, 0.022636566311120987, 0.11005808413028717, 0.13436786830425262, -0.21447120606899261, 0.06803913414478302, -0.0031034178100526333, -0.32843631505966187, -0.10929637402296066, -0.22968897223472595, 0.1770370900630951, 0.18391504883766174, -0.08760908246040344, -0.0042059156112372875, 0.2237512767314911, -0.027404991909861565, 0.2030799388885498, -0.12046466767787933, 0.2600390613079071, 0.00816833321005106, 0.011332741007208824, -0.001068342593498528, -0.2586010992527008, -0.001060848357155919, -0.010508216917514801, -0.037370555102825165, 0.1994001716375351, 0.2117881327867508, -0.0280926376581192, -0.07367478311061859, -0.15067756175994873, -0.025225462391972542, -0.0953049510717392, 0.03138623386621475, 0.07346238940954208, -0.2629365026950836, 0.10542402416467667, -0.19368574023246765, -0.07112119346857071, 0.003873359877616167, -0.030658554285764694, -0.21817082166671753, -0.16548895835876465, -0.08856091648340225, 0.12519662082195282, 0.13372144103050232, -0.19004496932029724, 0.05101779103279114, 0.14836281538009644, 0.23263290524482727, 0.007378867361694574, -0.05360720306634903, 0.01097515132278204, -0.32512739300727844, 0.30913737416267395, -0.0439322292804718, -0.014528983272612095, 0.10060431808233261, -0.006731882691383362, 0.23526614904403687]"
Formation,Task,Multi-robot formation control,"[-0.3143604099750519, -0.18928858637809753, 0.09492383152246475, -0.091084785759449, 0.03947281837463379, -0.23483844101428986, 0.11683346331119537, -0.14152570068836212, -0.12964841723442078, 0.11246579140424728, 0.20623385906219482, -0.022394783794879913, -0.34031277894973755, 0.027503838762640953, -0.0004730393993668258, 0.3652404546737671, -0.11527542024850845, 0.028637753799557686, -0.09678167849779129, 0.33099082112312317, -0.0463428758084774, 0.06847071647644043, -0.0032039086800068617, -0.20610758662223816, -0.1961459517478943, -0.02727734111249447, -0.2691323459148407, 0.14320993423461914, 0.13308976590633392, -0.4532863199710846, 0.12222116440534592, 0.05580727383494377, -0.009966927580535412, 0.34680354595184326, -0.306496798992157, -0.07844961434602737, 0.3974258005619049, 0.10073086619377136, 0.11478377133607864, -0.19983461499214172, 0.035295840352773666, -0.05229831486940384, 0.3965775668621063, -0.22142642736434937, 0.05740838125348091, -0.12592758238315582, 0.13870283961296082, -0.18109281361103058, 0.13288624584674835, -0.14655941724777222, 0.27314555644989014, -0.2495192140340805, 0.02494923397898674, 0.06827706843614578, 0.5100861191749573, 0.21906280517578125, 0.28458356857299805, -0.12023603171110153, 0.17543083429336548, 0.25780150294303894, 0.26954159140586853, 0.06213004142045975, -0.09312997758388519, -0.19345606863498688, -0.13960000872612, 0.23129278421401978, 0.01773296669125557, 0.050679318606853485, -0.29733553528785706, 0.10857552289962769, 0.41788774728775024, 0.23916825652122498, -0.17716366052627563, 0.11745960265398026, 0.12721511721611023, -0.3004826009273529, 0.0077773150987923145, -0.19853202998638153, 0.24563345313072205, 0.3678317666053772, 0.3111022114753723, -0.2650013566017151, 0.032377470284700394, -0.07900167256593704, 0.3691437840461731, 0.10909504443407059, -0.031015779823064804, 0.11654669046401978, -0.12609562277793884, 0.3233986794948578, -0.014899790287017822, 0.19663430750370026, 0.2813529074192047, -0.204932302236557, 0.1750321239233017, -0.13871754705905914, -0.07448283582925797, -0.02170936018228531, -0.3850398361682892, 0.0504913367331028, 0.08293856680393219, 0.3511863350868225, -0.2765829265117645, -0.11194179952144623, 0.014347773976624012, 0.24226582050323486, -0.24637292325496674, 0.14247307181358337, 0.04197132587432861, -0.06726846098899841, 0.18679863214492798, 0.07937899231910706, 0.05961964279413223, 0.17111092805862427, -0.20943225920200348, -0.5921409130096436, 0.06290314346551895, 0.24207012355327606, -0.09312756359577179, -0.28716546297073364, -0.19558420777320862, 0.11836806684732437, -0.02577584609389305, -0.03603130951523781, -0.14411774277687073, 0.10045821964740753, 0.08370239287614822, -0.057311080396175385]"
Manipulation,Task,Object manipulation and grasping,"[0.1627768874168396, 0.6815863251686096, 0.7629616260528564, -0.7051165699958801, 0.0342106930911541, -0.7998220920562744, -0.2054014503955841, 0.4171323776245117, -0.8019166588783264, 0.7981565594673157, 0.43782439827919006, -0.29625004529953003, -0.8305606245994568, -0.17573191225528717, 0.21367527544498444, 0.1420028805732727, 1.014804482460022, 0.2877959609031677, 0.18373607099056244, 0.467233806848526, -0.48889803886413574, -0.18350368738174438, -0.3147673010826111, 0.9872645735740662, -0.4915279150009155, -0.3450929522514343, 0.1358473300933838, 0.47819897532463074, -0.2646125853061676, -0.43383827805519104, -0.20669953525066376, 0.0348096638917923, -0.6528701782226562, -0.1244298666715622, -0.2740003764629364, 0.3055362105369568, 0.23044203221797943, -0.10082695633172989, 0.035019293427467346, 0.08100186288356781, -0.12411298602819443, -0.105953149497509, 0.3267965614795685, 0.13536550104618073, -0.5677317380905151, -0.27052807807922363, 0.7721233367919922, -0.49410030245780945, -0.6389831304550171, -0.2414875328540802, 0.6914616227149963, -0.195601224899292, 0.7867776155471802, -0.7340688705444336, 0.8892723917961121, -0.5414654016494751, 0.604141354560852, 0.16441549360752106, -0.02825562283396721, -0.4210497736930847, 0.5295795798301697, 0.4275900423526764, -0.3314589560031891, -0.5070323944091797, 0.7751210331916809, -0.5787939429283142, -0.5092639327049255, 0.07591752707958221, -0.14984548091888428, -0.6809507012367249, 0.9196028113365173, 0.26725760102272034, -0.3724205195903778, -0.32143452763557434, -0.14664345979690552, -0.36420413851737976, -0.44326138496398926, -0.6004040837287903, -0.26825928688049316, 0.6052215099334717, 0.19874133169651031, -0.40592336654663086, 0.047316402196884155, -0.6901788115501404, 0.3116838037967682, 0.5223456621170044, 0.14660070836544037, -0.6528056859970093, -0.09511538594961166, 0.6474034786224365, -0.13601435720920563, 0.11056988686323166, 0.9037609696388245, 0.3466838300228119, -0.0653950572013855, 0.6303721070289612, -0.6352519392967224, -0.92967689037323, 0.9123069047927856, -0.5752639174461365, -0.0933794379234314, -0.080196812748909, -0.692158043384552, -0.4203092157840729, 0.08004351705312729, -0.1943504363298416, -0.6750127077102661, 0.19750811159610748, -0.30833789706230164, -0.2995043098926544, -0.06602415442466736, -0.40308877825737, 0.6295537352561951, 0.15759029984474182, 0.25873667001724243, -0.5685211420059204, 0.3204890191555023, 0.5860395431518555, -0.01694398932158947, -0.020365677773952484, 0.24869683384895325, -0.4191925525665283, -0.5772542953491211, -0.2680037021636963, -0.1980239599943161, -0.20817521214485168, 0.3262768089771271, 0.2854502201080322]"
Inspection,Task,Environment or structure inspection,"[-0.1966768205165863, 0.10440587997436523, 0.2792663872241974, -0.2371504306793213, -0.12110009044408798, -0.03744232654571533, -0.10491560399532318, 0.16012953221797943, -0.08398483693599701, -0.08419624716043472, 0.41110190749168396, 0.07894569635391235, -0.1140495091676712, -0.042958203703165054, -0.07295537739992142, 0.1512874960899353, 0.08810440450906754, -0.23514612019062042, 0.1895035058259964, 0.026255320757627487, -0.09321113675832748, 0.3146592676639557, 0.08047652989625931, -0.12171643227338791, -0.11151578277349472, -0.0471503846347332, -0.006973473820835352, 0.27850666642189026, -0.23487858474254608, -0.3018133044242859, 0.1757514774799347, -0.2735399007797241, 0.09209117293357849, 0.12218816578388214, 0.09241977334022522, 0.20102377235889435, 0.3678051233291626, 0.17948514223098755, -0.0038387745153158903, 0.10946885496377945, -0.07375668734312057, -0.005717171356081963, 0.09552077949047089, -0.3777831196784973, 0.25514018535614014, 0.039919521659612656, -0.05427173897624016, -0.29620879888534546, -0.18621133267879486, 0.19129034876823425, -0.2641598582267761, 0.16726166009902954, 0.06963052600622177, -0.16872932016849518, -0.006962488871067762, -0.00373863591812551, -0.14625447988510132, -0.09891834855079651, -0.08094734698534012, 0.0380808562040329, -0.15053901076316833, -0.18031162023544312, -0.04319242388010025, -0.030177563428878784, 0.31382277607917786, 0.3482173681259155, -0.11317525058984756, -0.18073350191116333, -0.05235981196165085, -0.10630327463150024, 0.328296959400177, -0.17288494110107422, -0.14753089845180511, -0.1270396113395691, -0.1454884111881256, -0.14453700184822083, -0.04119943454861641, -0.11798521876335144, 0.09902703762054443, 0.428483247756958, 0.1305910348892212, 0.15231254696846008, 0.0052682142704725266, 0.0941353589296341, 0.07148745656013489, -0.05358199030160904, -0.2800730764865875, 0.026208480820059776, -0.10570640861988068, -0.26507124304771423, -0.03461833670735359, -0.1459130197763443, 0.27789559960365295, 0.20426437258720398, 0.17048105597496033, 0.3359036445617676, -0.1969803422689438, -0.17933374643325806, 0.136869877576828, -0.3142865300178528, -0.19573372602462769, -0.11244893819093704, 0.018329190090298653, 0.13998375833034515, 0.052860211580991745, -0.30069389939308167, 0.38061702251434326, -0.22508949041366577, -0.0006839580019004643, -0.33332428336143494, -0.2457529604434967, 0.3139152228832245, 0.2736824154853821, 0.2128286361694336, 0.14909645915031433, -0.1694958209991455, -0.047665081918239594, -0.06775583326816559, -0.042388416826725006, -0.059008464217185974, -0.12549053132534027, -0.21235531568527222, -0.06190565973520279, 0.05329962819814682, -0.027933333069086075, 0.07038834691047668, 0.23770007491111755, 0.056304555386304855]"
Path_Length,Evaluation,Total path length metric,"[-0.010419908910989761, -0.18137763440608978, 0.21539118885993958, -0.08107169717550278, -0.013892591930925846, -0.04672664776444435, -0.10865552723407745, 0.043280284851789474, 0.07449948787689209, -0.11390238255262375, 0.1648671180009842, -0.20694144070148468, -0.20160424709320068, -0.030381670221686363, 0.1471792757511139, -0.06003069132566452, 0.05937005206942558, 0.007702547125518322, -0.011272948235273361, -0.022369541227817535, 0.05760731175541878, 0.24723459780216217, 0.06814153492450714, -0.01746225357055664, -0.06895264983177185, 0.02419036068022251, -0.11680642515420914, 0.022572148591279984, -0.07170871645212173, 0.059326186776161194, -0.2163148671388626, 0.03726743161678314, -0.008012548089027405, 0.02153627574443817, -0.05760654807090759, -0.10467824339866638, 0.18519803881645203, 0.08985074609518051, 0.07611644268035889, -0.19617600739002228, -0.04209129512310028, 0.13294707238674164, -0.06236395612359047, -0.18299956619739532, 0.06240552291274071, -0.01089660543948412, 0.006844697054475546, -0.08940745890140533, 0.02508380264043808, 0.21510112285614014, 0.1427772045135498, -0.0068913050927221775, -0.027709422633051872, 0.11475972831249237, 0.03308440372347832, 0.014295396395027637, 0.18865445256233215, 0.04048888012766838, -0.13632218539714813, 0.08184909075498581, 0.0868820920586586, -0.11264146864414215, 0.07043668627738953, -0.2575967609882355, 0.1493794322013855, 0.08669649809598923, -0.012197165749967098, 0.0021906341426074505, -0.07945205271244049, -0.0758102610707283, 0.09740787744522095, -0.04837414622306824, -0.12676002085208893, -0.07437644153833389, -0.08524022996425629, -0.04920104891061783, -0.06349767744541168, -0.028799306601285934, -0.3012734055519104, 0.169977605342865, -0.050315771251916885, 0.0971168652176857, -0.015045379288494587, 0.015139449387788773, -0.023422356694936752, 0.032230064272880554, 0.23087884485721588, -0.020178478211164474, 0.013611292466521263, 0.22867101430892944, -0.20953844487667084, -0.18227918446063995, -0.017890622839331627, -0.13927866518497467, 0.05846596509218216, 0.061285264790058136, -0.10886846482753754, -0.0971415713429451, -0.1304107904434204, -0.1927812099456787, -0.07592702656984329, -0.05603507161140442, 0.11714048683643341, 0.18611612915992737, 0.08930416405200958, -0.13445284962654114, 0.028904033824801445, -0.00016717344988137484, 0.029137955978512764, -0.0963764414191246, -0.03372234106063843, 0.05290352553129196, 0.08908223360776901, 0.09746740013360977, -0.17857587337493896, 0.05378998816013336, -0.10278875380754471, 0.08486180007457733, 0.13075047731399536, 0.16138221323490143, -0.12547361850738525, -0.1316959261894226, -0.06299571692943573, 0.02399904653429985, 0.08200561255216599, -0.017864255234599113, -0.10159067809581757, 0.04819933697581291]"
Success_Rate,Evaluation,Success rate percentage,"[-0.13986310362815857, -0.05138441547751427, 0.12156341969966888, -0.06813998520374298, 0.013853117823600769, -0.01708521693944931, -0.05287747457623482, 0.11810310930013657, 0.004595080856233835, -0.047153230756521225, 0.13151270151138306, -0.06515184789896011, -0.07417889684438705, -0.0511365681886673, 0.1098269522190094, 0.039456091821193695, 0.11609122902154922, -0.03608633577823639, -0.16772790253162384, 0.04827246069908142, 0.12792383134365082, 0.14257213473320007, 0.08917582780122757, -0.12060478329658508, -0.08825556188821793, -0.01905922219157219, -0.13340726494789124, 0.12229007482528687, -0.010417909361422062, 0.1103862002491951, -0.1873030960559845, 0.0038344021886587143, -0.0935983806848526, 0.002069497015327215, -0.09056852757930756, 0.05379442870616913, 0.1537896990776062, 0.09118953347206116, 0.2478712946176529, 0.029416536912322044, -0.0323784314095974, -0.0021625307854264975, 0.06257151067256927, -0.07912766188383102, 0.006176576483994722, 0.01724151335656643, 0.053232938051223755, -0.12386596202850342, -0.13527444005012512, 0.11819899082183838, 0.09749410301446915, 0.0689387395977974, 0.01081271655857563, 0.09781999886035919, 0.0023112797643989325, -0.10059971362352371, 0.17249402403831482, -0.10059704631567001, -0.06725575029850006, 0.18552619218826294, -0.04800911992788315, -0.03347955644130707, 0.11573769897222519, -0.24765907227993011, 0.07929202914237976, 0.03557725250720978, -0.08335711807012558, -0.012095422483980656, -0.013274285942316055, -0.09995201975107193, 0.049925681203603745, 0.019718974828720093, -0.1205517053604126, -0.12244947254657745, -0.05510753393173218, -0.2927691638469696, 0.04543767124414444, 0.11173392087221146, -0.22178548574447632, 0.243788480758667, -0.07736827433109283, 0.1112448126077652, 0.11736737936735153, 0.06546615809202194, 0.07329229265451431, -0.035680629312992096, 0.08456123620271683, -0.08969748765230179, 0.07202818244695663, 0.008153132162988186, -0.13227485120296478, -0.16973501443862915, -0.09861782938241959, -0.03346705436706543, 0.09257466346025467, 0.024952976033091545, -0.12270819395780563, -0.12766528129577637, -0.12548552453517914, -0.1511409431695938, -0.10853204876184464, 0.0002524387673474848, -0.06479480862617493, 0.06652669608592987, 0.025568462908267975, -0.19065655767917633, -0.046935174614191055, 0.05289509892463684, -0.016393501311540604, -0.03134846314787865, -0.08605695515871048, 0.03903937339782715, 0.12140563130378723, 0.21347276866436005, -0.07812672108411789, -0.011045935563743114, 0.02380978688597679, 0.07218384742736816, 0.1276162564754486, -0.014025253243744373, -0.061604056507349014, -0.13829103112220764, -0.026513827964663506, -0.00859905406832695, 0.10345713049173355, 0.0020091996993869543, -0.08496563881635666, 0.15678130090236664]"
Computation_Time,Evaluation,Computation time required,"[-0.07102011889219284, -0.13479164242744446, 0.13025915622711182, -0.040189653635025024, 0.008414637297391891, 0.10757084935903549, -0.11461791396141052, -0.1464075744152069, -0.004664483480155468, 0.09872478246688843, 0.06640646606683731, 0.025701289996504784, -0.045447614043951035, -0.1738944798707962, 0.06305338442325592, -0.0076899840496480465, 0.1096704974770546, 0.15867267549037933, -0.05020439624786377, -0.054673682898283005, 0.01853363588452339, 0.0005094127845950425, -0.06664352864027023, -0.1845889836549759, -0.11878221482038498, -0.10877116024494171, -0.12493252754211426, -0.06217116862535477, -0.12364353984594345, -0.2666938006877899, -0.06276672333478928, 0.01078172866255045, 0.12111909687519073, 0.09317418932914734, -0.07310330867767334, -0.037994418293237686, 0.14647778868675232, 0.028510356321930885, 0.1890888214111328, -0.1936325579881668, 0.058998968452215195, 0.043841347098350525, -0.23039524257183075, -0.2912331819534302, 0.0999654233455658, 0.041616521775722504, -0.004516376182436943, -0.10208458453416824, 0.002899422775954008, 0.026222242042422295, 0.09437083452939987, 0.1869291365146637, 0.13366110622882843, 0.17918504774570465, 0.1433471292257309, 0.21358847618103027, 0.18881605565547943, -0.0067647905088961124, -0.13879559934139252, 0.16726279258728027, 0.08909300714731216, -0.006904181092977524, 0.05753583461046219, 0.01975102536380291, 0.07374072819948196, 0.16653652489185333, -0.013745942153036594, 0.054783470928668976, -0.016212264075875282, -0.21593178808689117, 0.07516538351774216, 0.028285667300224304, -0.2183190882205963, 0.134330615401268, 0.0026054831687361, -0.17653319239616394, -0.07709180563688278, -0.1008644625544548, 0.04745227098464966, 0.23360580205917358, 0.05705093964934349, -0.04480695724487305, 0.2077425718307495, 0.16997215151786804, 0.11091739684343338, 0.10957394540309906, 0.16941872239112854, -0.005995310842990875, 0.025453275069594383, -0.010196334682404995, -0.05348542705178261, -0.08936332166194916, 0.12042081356048584, 0.008642037399113178, 0.02974630333483219, -0.03501211479306221, -0.1133052185177803, -0.08977693319320679, -0.20443622767925262, -0.18244166672229767, -0.1437540501356125, -0.058031149208545685, 0.12775099277496338, 0.12481920421123505, 0.11729971319437027, -0.0784994587302208, -0.14764025807380676, -0.18121978640556335, 0.08427150547504425, -0.15757493674755096, -0.05196923017501831, 0.11183836311101913, 0.2653868794441223, 0.12058551609516144, -0.21030917763710022, -0.24155521392822266, 0.03391169384121895, 0.14419928193092346, -0.06589362025260925, 0.06541610509157181, -0.08886954933404922, -0.17509257793426514, 0.11657286435365677, 0.030348021537065506, -0.19875457882881165, 0.14192534983158112, 0.11650387197732925, 0.018110252916812897]"
Smoothness,Evaluation,Path smoothness metric,"[0.06407634168863297, -0.4101393222808838, 0.15917560458183289, -0.10473521053791046, -0.08515709638595581, -0.07408137619495392, -0.16426363587379456, 0.13587836921215057, -0.1749895066022873, -0.04507124796509743, 0.2279205322265625, -0.12874507904052734, -0.1144091933965683, 0.08122453838586807, 0.043747130781412125, 0.08413765579462051, 0.021619698032736778, 0.21818669140338898, -0.030564336106181145, 0.009728149510920048, 0.06423064321279526, 0.2262348234653473, 0.03801003843545914, -0.04200322553515434, 0.029699405655264854, 0.1584988385438919, -0.2713874876499176, -0.34170037508010864, -0.07372637093067169, 0.18396785855293274, -0.29204514622688293, 0.22039207816123962, -0.17208325862884521, 0.043478671461343765, 0.043773192912340164, 0.14610379934310913, 0.24726103246212006, -0.06312727928161621, -0.015013395808637142, -0.09734398126602173, -0.00946749560534954, -0.04522853344678879, 0.1518869698047638, 0.08148251473903656, 0.008888253942131996, -0.23248064517974854, -0.21967655420303345, -0.19854579865932465, -0.03850064426660538, 0.06364027410745621, 0.1331743448972702, -0.07366827130317688, 0.16414494812488556, -0.09569768607616425, -0.2052074670791626, -0.05194796249270439, 0.048960279673337936, 0.18605129420757294, 0.13239078223705292, 0.1655636429786682, 0.010547849349677563, -0.11619540303945541, -0.1315922737121582, -0.276926726102829, 0.12366034090518951, -0.037870340049266815, -0.19412553310394287, 0.09871066361665726, 0.2499362975358963, -0.0906452089548111, -0.03071989119052887, -0.13229431211948395, -0.15013150870800018, -0.2426328808069229, 0.014921648427844048, -0.21775710582733154, -0.06353820860385895, 0.13510195910930634, 0.12485279887914658, 0.09436269849538803, -0.017676936462521553, 0.035823795944452286, 0.11087436228990555, 0.28126347064971924, 0.08988602459430695, 0.12747274339199066, 0.016166631132364273, -0.0839630737900734, -0.12207257747650146, 0.17692232131958008, 0.1545301079750061, 0.07495507597923279, -0.007065768353641033, 0.11551027745008469, 0.08901418000459671, 0.16757038235664368, -0.032196879386901855, -0.1842363029718399, 0.016696730628609657, -0.23818066716194153, -0.08762066066265106, 0.01621074229478836, -0.11694014072418213, 0.10586107522249222, 0.032703567296266556, 0.10103216767311096, -0.08910339325666428, 0.15737614035606384, 0.015774251893162727, -0.2458304464817047, 0.012253521010279655, -0.23342806100845337, -0.056001532822847366, 0.3182597756385803, -0.14455920457839966, -0.03880226984620094, -0.12307726591825485, -0.016530053690075874, 0.14182429015636444, 0.19573354721069336, -0.08700597286224365, -0.13634233176708221, -0.1491304486989975, 0.003159081796184182, -0.05900042504072189, 0.15799081325531006, -0.297913521528244, 0.3379822075366974]"
Safety_Margin,Evaluation,Safety distance from obstacles,"[-0.15737761557102203, -0.4214377701282501, 0.21515439450740814, -0.0328594408929348, 0.23005180060863495, -0.3972952663898468, -0.05290807783603668, 0.10596463084220886, -0.21109405159950256, 0.02940496616065502, 0.1915959268808365, -0.24058392643928528, -0.2543415427207947, 0.08407868444919586, 0.15741315484046936, 0.011550862342119217, 0.07540082931518555, 0.03191574662923813, -0.07724358886480331, 0.05310363695025444, 0.20968538522720337, -0.021403104066848755, 0.023476822301745415, -0.15973415970802307, -0.06743301451206207, 0.10305435210466385, -0.13191595673561096, 0.08408702164888382, 0.1755451112985611, 0.07157149910926819, -0.1492251306772232, 0.05328422784805298, -0.07519770413637161, -0.05827688053250313, 0.1292094886302948, 0.07877432554960251, -0.04730517417192459, 0.1577986180782318, 0.25424832105636597, 0.0018823208520188928, -0.05890610069036484, -0.012737993150949478, 0.22806161642074585, -0.0016579671064391732, -0.0858139917254448, -0.11464302986860275, -0.1487889438867569, -0.0847611278295517, 0.016500264406204224, -0.12509247660636902, 0.10831761360168457, -0.0298294760286808, 0.13780826330184937, 0.14668045938014984, 0.22068898379802704, -0.16424503922462463, 0.10317092388868332, -0.045216113328933716, -0.033635400235652924, 0.049231696873903275, -0.008423649705946445, 0.06405174732208252, 0.28085818886756897, -0.06953921914100647, 0.23720747232437134, 0.17505046725273132, -0.08760257810354233, 0.056356675922870636, 0.34988728165626526, 0.10772012919187546, 0.09544315189123154, 0.055331531912088394, -0.13711746037006378, -0.29708755016326904, -0.11936008930206299, -0.31369560956954956, -0.21628889441490173, 0.17934468388557434, -0.17768236994743347, 0.16812509298324585, -0.1361960768699646, 0.1332104653120041, 0.22448694705963135, 0.35688716173171997, 0.20934772491455078, -0.16469325125217438, 0.2630080282688141, -0.15225748717784882, -0.10060723125934601, 0.0964181050658226, 0.11122137308120728, 0.0008958969265222549, -0.2225540578365326, 0.1285904198884964, 0.3361772298812866, 0.042093876749277115, -0.20558886229991913, -0.07288562506437302, 0.19499345123767853, -0.2953748404979706, -0.03760187327861786, 0.0027174854185432196, -0.2946473956108093, -0.030620548874139786, -0.06986086070537567, 0.16644419729709625, -0.14126527309417725, -0.12176486104726791, -0.07323489338159561, -0.10998481512069702, 0.0981454998254776, 0.058599866926670074, -0.08589745312929153, 0.0917530357837677, 0.06002742052078247, -0.03881928324699402, 0.32378652691841125, -0.06866281479597092, 0.19496138393878937, 0.09422313421964645, -0.02213941514492035, 0.04724850133061409, -0.07676766067743301, -0.04109731689095497, 0.039347995072603226, -0.050524137914180756, -0.10023359954357147, 0.1289016157388687]"
Energy_Consumption,Evaluation,Energy consumption metric,"[-0.0015364019200205803, 0.0029033711180090904, 0.002892635762691498, 0.006914893165230751, 0.0069453101605176926, 0.0009049177169799805, 0.0009664949029684067, -0.007707779295742512, 0.003928204067051411, -0.002878989093005657, 0.0026740171015262604, 0.0006152410060167313, 0.00705648772418499, 0.004574296995997429, 0.0075269415974617004, 0.0013304594904184341, -0.004377645440399647, -0.004679705016314983, -0.006323603913187981, 0.0016980292275547981, 0.006153620779514313, 0.005914576351642609, -0.001410377211868763, 0.0003071501851081848, -0.0054059382528066635, 0.005385641008615494, 0.00441455002874136, 0.0005745701491832733, 0.007577251642942429, -0.006837802939116955, -0.0071327704936265945, 0.007407026365399361, 0.004079580307006836, -0.007119764573872089, 0.005945459008216858, -0.003455190919339657, 0.0010703513398766518, 0.0023390362039208412, -0.007300553843379021, 0.004910992458462715, -0.00443078950047493, -0.004462502896785736, 0.005244716070592403, 0.005796346813440323, 0.006312433630228043, 0.00319062452763319, 0.00120627973228693, -0.006418592296540737, -0.000992405228316784, -0.000884300097823143, 0.00215060543268919, 0.006071189418435097, 0.006003440357744694, -0.0008181603625416756, -0.004406671971082687, 0.005692744627594948, 0.0071115391328930855, -0.004562055692076683, 0.0029045632109045982, 0.005827674642205238, -0.0001668846234679222, 0.0030917562544345856, -0.00521028321236372, -0.007406121119856834, -0.004842571914196014, -0.006171155720949173, -0.006735776551067829, 0.0037074554711580276, -0.0046184370294213295, 0.0052932072430849075, 0.0008804136887192726, -0.0020196130499243736, -0.007245623506605625, -0.0036494117230176926, 0.0023932447656989098, 0.007407051511108875, -0.0022552870213985443, 0.005422674119472504, -0.002665126696228981, 0.007754710502922535, -0.0009183334186673164, -0.005069185979664326, 0.002987159416079521, 0.00014043133705854416, 0.006049193441867828, -0.0062937065958976746, 0.0017953654751181602, 0.002800420857965946, 0.006405920721590519, -0.0014670025557279587, -0.0027477964758872986, -0.006484366953372955, 0.003655952401459217, -0.005427629686892033, 0.005097794346511364, 0.006410927511751652, 0.005040294490754604, 0.005888910964131355, -0.004217810928821564, 0.00711175799369812, -0.005655079148709774, 0.006196149624884129, -0.0027969814836978912, 0.0005492903292179108, -0.0007635969668626785, 0.00024149566888809204, 0.0060028620064258575, 0.0013609817251563072, -0.007036297582089901, 0.004169120453298092, 0.002937152050435543, -0.004723147489130497, 0.004725742153823376, -0.0008575757965445518, 0.004163259640336037, -0.0016001034528017044, 0.004499597474932671, 0.004525827243924141, -0.0021173665300011635, -0.0070937760174274445, -0.0006901361048221588, 0.0021906672045588493, -0.0057211462408304214, -0.006426452659070492, 0.0007578693330287933, 0.0006585903465747833, -0.0036127539351582527, -0.004336760379374027]"
